id,composer,composition,movement,ensemble,seconds,key,tonic,tonic_encoded,mode
1727,Schubert,Piano Quintet in A major,2. Andante,Piano Quintet,447,A major,A,9,major
1728,Schubert,Piano Quintet in A major,3. Scherzo: Presto,Piano Quintet,251,A major,A,9,major
1729,Schubert,Piano Quintet in A major,4. Andantino - Allegretto,Piano Quintet,444,A major,A,9,major
1730,Schubert,Piano Quintet in A major,5. Allegro giusto,Piano Quintet,368,A major,A,9,major
1733,Schubert,Piano Sonata in A major,2. Andantino,Solo Piano,546,A major,A,9,major
1734,Schubert,Piano Sonata in A major,3. Scherzo. Allegro vivace,Solo Piano,325,A major,A,9,major
1735,Schubert,Piano Sonata in A major,4. Rondo. Allegretto,Solo Piano,714,A major,A,9,major
1739,Schubert,Piano Trio in B-flat major,4. Rondo. Allegro vivace,Piano Trio,490,B-flat major,B-flat,10,major
1742,Schubert,String Quintet in C major,2. Adagio,Viola Quintet,924,C major,C,0,major
1749,Schubert,Piano Sonata in A minor,1. Moderato,Solo Piano,696,A minor,A,9,minor
1750,Schubert,Piano Sonata in A minor,2. Andante poco mosso,Solo Piano,784,A minor,A,9,minor
1751,Schubert,Piano Sonata in A minor,3. Scherzo. Allegro vivace - Trio. Un poco piu lento,Solo Piano,475,A minor,A,9,minor
1752,Schubert,Piano Sonata in A minor,4. Rondo. Allegro vivace,Solo Piano,362,A minor,A,9,minor
1755,Schubert,Piano Sonata in A minor,2. Andante,Solo Piano,229,A minor,A,9,minor
1756,Schubert,Piano Sonata in A minor,3. Allegro vivace,Solo Piano,371,A minor,A,9,minor
1757,Schubert,Piano Sonata in C minor,1. Allegro,Solo Piano,710,C minor,C,0,minor
1758,Schubert,Piano Sonata in C minor,2. Adagio,Solo Piano,468,C minor,C,0,minor
1759,Schubert,Piano Sonata in C minor,3. Menuetto and Trio,Solo Piano,194,C minor,C,0,minor
1760,Schubert,Piano Sonata in C minor,4. Allegro,Solo Piano,655,C minor,C,0,minor
1763,Schubert,4 Impromptus,1. Impromptu in F minor,Solo Piano,600,F minor,F,5,minor
1764,Schubert,4 Impromptus,2. Impromptu in A-flat major,Solo Piano,438,A-flat major,A-flat,8,major
1765,Schubert,4 Impromptus,3. Impromptu in B-flat major,Solo Piano,676,B-flat major,B-flat,10,major
1766,Schubert,4 Impromptus,4. Impromptu in F minor,Solo Piano,427,F minor,F,5,minor
1768,Schubert,Piano Sonata in A major,2. Andante,Solo Piano,290,A major,A,9,major
1771,Schubert,Piano Sonata in D-flat major,1. Allegro moderato,Solo Piano,647,D-flat major,D-flat,1,major
1772,Schubert,Piano Sonata in D-flat major,2. Andante molto,Solo Piano,417,D-flat major,D-flat,1,major
1773,Schubert,Piano Sonata in D-flat major,3. Menuetto. Allegretto,Solo Piano,307,D-flat major,D-flat,1,major
1775,Schubert,Piano Sonata in D major,1. Allegro vivace,Solo Piano,578,D major,D,2,major
1776,Schubert,Piano Sonata in D major,2. Con moto,Solo Piano,726,D major,D,2,major
1777,Schubert,Piano Sonata in D major,3. Scherzo. Allegro vivace,Solo Piano,629,D major,D,2,major
1788,Mozart,String Quartet No 19 in C major,1. Adagio - Allegro,String Quartet,513,C major,C,0,major
1789,Mozart,String Quartet No 19 in C major,2. Andante cantabile,String Quartet,461,C major,C,0,major
1790,Mozart,String Quartet No 19 in C major,3. Menuetto. Allegro,String Quartet,323,C major,C,0,major
1791,Mozart,String Quartet No 19 in C major,4. Allegro molto,String Quartet,351,C major,C,0,major
1792,Mozart,String Quartet No 19 in C major,1. Adagio - Allegro,String Quartet,472,C major,C,0,major
1793,Mozart,String Quartet No 19 in C major,2. Andante cantabile,String Quartet,504,C major,C,0,major
1805,Mozart,String Quartet No 14 in G major,1. Allegro vivace assai,String Quartet,356,G major,G,7,major
1807,Mozart,String Quartet No 14 in G major,3. Andante cantabile,String Quartet,444,G major,G,7,major
1811,Mozart,Clarinet Quintet in A major,2. Larghetto,Clarinet Quintet,489,A major,A,9,major
1812,Mozart,Clarinet Quintet in A major,3. Menuetto,Clarinet Quintet,466,A major,A,9,major
1813,Mozart,Clarinet Quintet in A major,4. Allegretto con variazioni,Clarinet Quintet,591,A major,A,9,major
1817,Mozart,Serenade in E-flat major,2. Menuetto,Pairs Clarinet-Horn-Bassoon,250,E-flat major,E-flat,3,major
1818,Mozart,Serenade in E-flat major,3. Adagio,Pairs Clarinet-Horn-Bassoon,407,E-flat major,E-flat,3,major
1819,Mozart,Serenade in E-flat major,4. Menuetto,Pairs Clarinet-Horn-Bassoon,177,E-flat major,E-flat,3,major
1822,Mozart,String Quartet No 15 in D minor,1. Allegro moderato,String Quartet,460,D minor,D,2,minor
1824,Mozart,String Quartet No 15 in D minor,3. Menuetto and Trio. Allegretto,String Quartet,252,D minor,D,2,minor
1828,Mozart,Piano Trio No 4 in E major,2. Andante grazioso,Piano Trio,265,E major,E,4,major
1829,Mozart,Piano Trio No 4 in E major,3. Allegro,Piano Trio,421,E major,E,4,major
1835,Mozart,String Quartet No 23 in F major,3. Menuetto. Allegretto,String Quartet,236,F major,F,5,major
1859,Mozart,String Quartet No 18 in A major,2. Menuetto and Trio,String Quartet,392,A major,A,9,major
1872,Mozart,Piano Trio No 3 in B-flat major,2. Larghetto,Piano Trio,509,B-flat major,B-flat,10,major
1873,Mozart,Piano Trio No 3 in B-flat major,3. Allegretto,Piano Trio,366,B-flat major,B-flat,10,major
1876,Mozart,Piano Trio No2 in G major,2. Andante,Piano Trio,356,G major,G,7,major
1893,Mozart,Piano Trio No 6 in G major,3. Allegretto,Piano Trio,325,G major,G,7,major
1916,Dvorak,String Quartet No 10 in E-flat major,1. Allegro ma non troppo,String Quartet,675,E-flat major,E-flat,3,major
1918,Dvorak,String Quartet No 10 in E-flat major,3. Romanza,String Quartet,367,E-flat major,E-flat,3,major
1919,Dvorak,String Quartet No 10 in E-flat major,4. Finale,String Quartet,434,E-flat major,E-flat,3,major
1922,Dvorak,String Quartet No 10 in E-flat major,3. Romanza,String Quartet,402,E-flat major,E-flat,3,major
